run_id,status,backend,model,model_label,served_model_name,strategy,controller_label,workload_version,request_cap,agent_window,effective_agent_window,W_0,W_min,W_max,effective_W_max,num_agents,num_steps,observation_tokens_per_step,max_new_tokens,end_to_end_batch_latency_s,completed_agents_per_second,mean_agent_latency_s,p95_agent_latency_s,mock_result_excluded_from_qwen_claims,run_dir,config_path
20260704-103922-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed0-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-cache-aware-v1-b8-seed0,qwen3-32b,concur_cache_aware_v1,concur_cache_aware_v1,prefix_stable_v2,,,4,4,1,8,8,8,8,256,64,109.271686484979,0.0732120117968502,80.5717042684555,109.25370597839355,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-103922-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed0-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-103922-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed0-b8/config.yaml
20260704-104116-phase-window-v1--32B-innovation-phase-window-v1-b8-seed0-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-phase-window-v1-b8-seed0,qwen3-32b,phase_window_v1,phase_window_v1,prefix_stable_v2,,4,4,4,4,8,8,8,8,256,64,135.75639870599844,0.058929082358211655,110.774599224329,135.74572157859802,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104116-phase-window-v1--32B-innovation-phase-window-v1-b8-seed0-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104116-phase-window-v1--32B-innovation-phase-window-v1-b8-seed0-b8/config.yaml
20260704-104334-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed1-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-cache-aware-v1-b8-seed1,qwen3-32b,concur_cache_aware_v1,concur_cache_aware_v1,prefix_stable_v2,,,4,4,1,8,8,8,8,256,64,114.81683751102537,0.069676191867171,85.58144900202751,114.79174518585205,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104334-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed1-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104334-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed1-b8/config.yaml
20260704-104534-phase-window-v1--32B-innovation-phase-window-v1-b8-seed1-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-phase-window-v1-b8-seed1,qwen3-32b,phase_window_v1,phase_window_v1,prefix_stable_v2,,4,4,4,4,8,8,8,8,256,64,150.57824781903764,0.05312852364714898,119.80977761745453,150.56671833992004,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104534-phase-window-v1--32B-innovation-phase-window-v1-b8-seed1-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104534-phase-window-v1--32B-innovation-phase-window-v1-b8-seed1-b8/config.yaml
20260704-104811-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed2-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-cache-aware-v1-b8-seed2,qwen3-32b,concur_cache_aware_v1,concur_cache_aware_v1,prefix_stable_v2,,,4,4,1,8,8,8,8,256,64,110.0879170059925,0.07266919220176117,82.20003056526184,110.05559349060059,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104811-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed2-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104811-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed2-b8/config.yaml
20260704-105005-phase-window-v1--32B-innovation-phase-window-v1-b8-seed2-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-phase-window-v1-b8-seed2,qwen3-32b,phase_window_v1,phase_window_v1,prefix_stable_v2,,4,4,4,4,8,8,8,8,256,64,143.91006694803946,0.05559027363171543,116.25210693478584,143.89913892745972,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-105005-phase-window-v1--32B-innovation-phase-window-v1-b8-seed2-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-105005-phase-window-v1--32B-innovation-phase-window-v1-b8-seed2-b8/config.yaml
20260704-105418-concur-cache-aware-v1-tion-cache-aware-v1-b8-long-ctxfit-seed0-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-cache-aware-v1-b8-long-ctxfit-seed0,qwen3-32b,concur_cache_aware_v1,concur_cache_aware_v1,prefix_stable_v2,,,4,4,1,8,8,8,12,320,64,504.2904264359968,0.01586387442755735,377.94187089800835,504.24569630622864,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-105418-concur-cache-aware-v1-tion-cache-aware-v1-b8-long-ctxfit-seed0-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-105418-concur-cache-aware-v1-tion-cache-aware-v1-b8-long-ctxfit-seed0-b8/config.yaml
20260704-110248-phase-window-v1-ion-phase-window-v1-b8-long-ctxfit-seed0-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-phase-window-v1-b8-long-ctxfit-seed0,qwen3-32b,phase_window_v1,phase_window_v1,prefix_stable_v2,,4,4,4,4,8,8,8,12,320,64,591.5214886500034,0.013524445271224135,477.7686020731926,591.5113971233368,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-110248-phase-window-v1-ion-phase-window-v1-b8-long-ctxfit-seed0-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-110248-phase-window-v1-ion-phase-window-v1-b8-long-ctxfit-seed0-b8/config.yaml
20260704-111243-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b12-seed0-b12,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-cache-aware-v1-b12-seed0,qwen3-32b,concur_cache_aware_v1,concur_cache_aware_v1,prefix_stable_v2,,,4,4,1,8,8,12,8,256,64,223.85258632799378,0.05360670697106592,151.2749249537786,223.7944028377533,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-111243-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b12-seed0-b12,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-111243-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b12-seed0-b12/config.yaml
20260704-111631-phase-window-v1-32B-innovation-phase-window-v1-b12-seed0-b12,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-innovation-phase-window-v1-b12-seed0,qwen3-32b,phase_window_v1,phase_window_v1,prefix_stable_v2,,4,4,4,4,8,8,12,8,256,64,216.47761929500848,0.05543298212110694,150.89910779396692,216.46601843833923,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-111631-phase-window-v1-32B-innovation-phase-window-v1-b12-seed0-b12,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-111631-phase-window-v1-32B-innovation-phase-window-v1-b12-seed0-b12/config.yaml
