scenario,controller,seed,status,run_id,num_agents,num_steps,observation_tokens_per_step,latency_s,max_token_usage,mean_token_usage,max_queue_req,max_pending_token,cached_token_ratio_total,mean_request_latency_s,p95_request_latency_s,controller_event_count,exact_controller_event_count,window_min,window_max,window_mean,run_dir
b12_medium,concur_cache_aware_v1,0,success,20260704-111243-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b12-seed0-b12,12,8,256,223.85258632799378,0.98,0.6044117647058823,6,120583,0.34680532410825404,14.191405416471696,34.95860274987062,124,124,1.0,8.0,4.32258064516129,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-111243-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b12-seed0-b12
b12_medium,phase_window_v1,0,success,20260704-111631-phase-window-v1-32B-innovation-phase-window-v1-b12-seed0-b12,12,8,256,216.47761929500848,0.97,0.5920930232558139,6,97686,0.38001727584094175,13.59804568006285,30.727577468124217,108,0,4.0,8.0,7.351851851851852,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-111631-phase-window-v1-32B-innovation-phase-window-v1-b12-seed0-b12
b16_medium,concur_cache_aware_v1,0,success,20260704-112013-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b16-seed0-b16,16,8,256,289.6075806239969,0.98,0.6004494382022472,6,120588,0.40621753991388365,12.78336934236649,33.55155078647658,159,159,1.0,8.0,5.0062893081761,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-112013-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b16-seed0-b16
b16_medium,phase_window_v1,0,success,20260704-112508-phase-window-v1-32B-innovation-phase-window-v1-b16-seed0-b16,16,8,256,294.78455258504255,0.99,0.6372,6,95521,0.3548104537834523,15.350493328107518,31.603055734973168,144,0,4.0,8.0,7.513888888888889,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-112508-phase-window-v1-32B-innovation-phase-window-v1-b16-seed0-b16
b8,concur_cache_aware_v1,0,success,20260704-103922-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed0-b8,8,8,256,109.271686484979,0.92,0.5127631578947368,3,22109,0.6747909426045898,6.957652753395422,13.708018202940002,64,64,4.0,8.0,6.421875,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-103922-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed0-b8
b8,concur_cache_aware_v1,1,success,20260704-104334-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed1-b8,8,8,256,114.81683751102537,0.97,0.5262820512820513,3,47082,0.6528806027850232,7.38127074272533,19.07369657040108,67,67,4.0,8.0,6.402985074626866,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104334-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed1-b8
b8,concur_cache_aware_v1,2,success,20260704-104811-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed2-b8,8,8,256,110.0879170059925,0.97,0.5187012987012987,4,32562,0.6706204797741376,6.703238374888539,13.55520848838496,64,64,4.0,8.0,5.90625,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104811-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed2-b8
b8,phase_window_v1,0,success,20260704-104116-phase-window-v1--32B-innovation-phase-window-v1-b8-seed0-b8,8,8,256,135.75639870599844,0.97,0.5756321839080459,6,94791,0.4524026508212714,12.115272670662783,30.521730303316144,72,0,4.0,8.0,7.083333333333333,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104116-phase-window-v1--32B-innovation-phase-window-v1-b8-seed0-b8
b8,phase_window_v1,1,success,20260704-104534-phase-window-v1--32B-innovation-phase-window-v1-b8-seed1-b8,8,8,256,150.57824781903764,0.97,0.5353684210526316,6,100643,0.3767401064158163,13.21178721087143,37.94274312157067,72,0,4.0,8.0,7.055555555555555,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-104534-phase-window-v1--32B-innovation-phase-window-v1-b8-seed1-b8
b8,phase_window_v1,2,success,20260704-105005-phase-window-v1--32B-innovation-phase-window-v1-b8-seed2-b8,8,8,256,143.91006694803946,0.97,0.5625274725274725,6,89109,0.3981357985648002,12.838319458798146,32.56677100789384,72,0,4.0,8.0,7.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-105005-phase-window-v1--32B-innovation-phase-window-v1-b8-seed2-b8
b8_long_ctxfit,concur_cache_aware_v1,0,success,20260704-105418-concur-cache-aware-v1-tion-cache-aware-v1-b8-long-ctxfit-seed0-b8,8,12,320,504.2904264359968,0.98,0.5897222222222223,6,192937,0.312287575738994,25.782313146839066,69.47483032339952,259,259,1.0,8.0,3.4208494208494207,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-105418-concur-cache-aware-v1-tion-cache-aware-v1-b8-long-ctxfit-seed0-b8
b8_long_ctxfit,phase_window_v1,0,success,20260704-110248-phase-window-v1-ion-phase-window-v1-b8-long-ctxfit-seed0-b8,8,12,320,591.5214886500034,0.98,0.5841721854304636,7,243382,0.102026537276871,38.120042659174864,90.23051877900143,104,0,4.0,8.0,7.3076923076923075,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation/runs/20260704-110248-phase-window-v1-ion-phase-window-v1-b8-long-ctxfit-seed0-b8
