run_id,controller_label,request_count,prompt_tokens_total,completion_tokens_total,cached_tokens_total,cached_token_ratio_total,mean_queue_time_s,max_queue_time_s,mean_e2e_latency_s,p95_e2e_latency_s,mean_decode_throughput_tokens_s,max_cached_tokens
20260704-103922-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed0-b8,concur_cache_aware_v1,65,654007,4098,441318,0.6747909426045898,0.0,0.0,6.957652753395422,13.708018202940002,4164.164816368574,17472
20260704-104116-phase-window-v1--32B-innovation-phase-window-v1-b8-seed0-b8,phase_window_v1,65,653986,4098,295865,0.4524026508212714,0.0,0.0,12.115272670662783,30.521730303316144,6313.098422821726,17467
20260704-104334-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed1-b8,concur_cache_aware_v1,65,654429,4098,427264,0.6528806027850232,0.0,0.0,7.38127074272533,19.07369657040108,8096.038995391943,17487
20260704-104534-phase-window-v1--32B-innovation-phase-window-v1-b8-seed1-b8,phase_window_v1,65,654414,4098,246544,0.3767401064158163,0.0,0.0,13.21178721087143,37.94274312157067,5557.500653232469,17478
20260704-104811-concur-cache-aware-v1-3-32B-innovation-cache-aware-v1-b8-seed2-b8,concur_cache_aware_v1,65,654558,4098,438960,0.6706204797741376,0.0,0.0,6.703238374888539,13.55520848838496,5977.863324858202,17477
20260704-105005-phase-window-v1--32B-innovation-phase-window-v1-b8-seed2-b8,phase_window_v1,65,654543,4098,260597,0.3981357985648002,0.0,0.0,12.838319458798146,32.56677100789384,6068.073610127225,17466
20260704-105418-concur-cache-aware-v1-tion-cache-aware-v1-b8-long-ctxfit-seed0-b8,concur_cache_aware_v1,97,1908033,6146,595855,0.312287575738994,0.0,0.0,25.782313146839066,69.47483032339952,2524.657074115321,36055
20260704-110248-phase-window-v1-ion-phase-window-v1-b8-long-ctxfit-seed0-b8,phase_window_v1,97,1908033,6146,194670,0.102026537276871,0.0,0.0,38.120042659174864,90.23051877900143,4220.011095218754,35998
20260704-111243-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b12-seed0-b12,concur_cache_aware_v1,97,995547,6146,345261,0.34680532410825404,0.0,0.0,14.191405416471696,34.95860274987062,4810.880551590498,17466
20260704-111631-phase-window-v1-32B-innovation-phase-window-v1-b12-seed0-b12,phase_window_v1,97,995610,6146,378349,0.38001727584094175,0.0,0.0,13.59804568006285,30.727577468124217,3816.38470018396,18993
20260704-112013-concur-cache-aware-v1--32B-innovation-cache-aware-v1-b16-seed0-b16,concur_cache_aware_v1,129,1351660,8194,549068,0.40621753991388365,0.0,0.0,12.78336934236649,33.55155078647658,3353.0117929372477,19013
20260704-112508-phase-window-v1-32B-innovation-phase-window-v1-b16-seed0-b16,phase_window_v1,129,1351702,8194,479598,0.3548104537834523,0.0,0.0,15.350493328107518,31.603055734973168,3039.3574151485586,19017
