run_id,status,backend,model,model_label,served_model_name,strategy,controller_label,workload_version,request_cap,agent_window,effective_agent_window,W_0,W_min,W_max,effective_W_max,num_agents,num_steps,observation_tokens_per_step,max_new_tokens,end_to_end_batch_latency_s,completed_agents_per_second,mean_agent_latency_s,p95_agent_latency_s,mock_result_excluded_from_qwen_claims,run_dir,config_path
20260704-143615-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed0-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-tail-open-v1-b8-seed0,qwen3-32b,tail_open_v1,tail_open_v1,prefix_stable_v2,,4,4,4,4,8,8,8,8,256,64,112.22017428005347,0.07128842965468427,83.9181677699089,112.20880889892578,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-143615-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed0-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-143615-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed0-b8/config.yaml
20260704-143810-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed0-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-cache-gate-v1-b8-seed0,qwen3-32b,cache_gate_v1,cache_gate_v1,prefix_stable_v2,,,4,4,4,8,8,8,8,256,64,111.70186059596017,0.07161921885023041,81.03612807393074,111.68019700050354,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-143810-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed0-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-143810-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed0-b8/config.yaml
20260704-144004-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed1-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-tail-open-v1-b8-seed1,qwen3-32b,tail_open_v1,tail_open_v1,prefix_stable_v2,,4,4,4,4,8,8,8,8,256,64,121.78675060800742,0.06568859059019844,98.9362099468708,121.77534699440002,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144004-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed1-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144004-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed1-b8/config.yaml
20260704-144210-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed1-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-cache-gate-v1-b8-seed1,qwen3-32b,cache_gate_v1,cache_gate_v1,prefix_stable_v2,,,4,4,4,8,8,8,8,256,64,116.51476931100478,0.06866082340725539,86.17404773831367,116.48539519309998,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144210-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed1-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144210-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed1-b8/config.yaml
20260704-144410-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed2-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-tail-open-v1-b8-seed2,qwen3-32b,tail_open_v1,tail_open_v1,prefix_stable_v2,,4,4,4,4,8,8,8,8,256,64,122.55763306998415,0.06527541206210923,92.63869351148605,122.54595875740051,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144410-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed2-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144410-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed2-b8/config.yaml
20260704-144617-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed2-b8,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-cache-gate-v1-b8-seed2,qwen3-32b,cache_gate_v1,cache_gate_v1,prefix_stable_v2,,,4,4,4,8,8,8,8,256,64,112.24263471801532,0.07127416440373323,84.46881887316704,112.20715141296387,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144617-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed2-b8,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144617-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed2-b8/config.yaml
20260704-144811-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b12-seed0-b12,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-tail-open-v1-b12-seed0,qwen3-32b,tail_open_v1,tail_open_v1,prefix_stable_v2,,4,4,4,4,8,8,12,8,256,64,228.5940297570196,0.05249480930344161,151.4262466430664,228.58218050003052,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144811-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b12-seed0-b12,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144811-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b12-seed0-b12/config.yaml
20260704-145205-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b12-seed0-b12,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-cache-gate-v1-b12-seed0,qwen3-32b,cache_gate_v1,cache_gate_v1,prefix_stable_v2,,,4,4,4,8,8,12,8,256,64,209.97768622398144,0.05714892956387614,143.93138804038367,209.93061351776123,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-145205-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b12-seed0-b12,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-145205-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b12-seed0-b12/config.yaml
20260704-145541-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b16-seed0-b16,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-tail-open-v1-b16-seed0,qwen3-32b,tail_open_v1,tail_open_v1,prefix_stable_v2,,4,4,4,4,8,8,16,8,256,64,285.6286186109646,0.056016795788213766,184.50100919604301,285.6168031692505,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-145541-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b16-seed0-b16,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-145541-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b16-seed0-b16/config.yaml
20260704-150029-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b16-seed0-b16,success,openai,/data/3.8T-1/yue/models/Qwen3-32B,Qwen3-32B-round2-cache-gate-v1-b16-seed0,qwen3-32b,cache_gate_v1,cache_gate_v1,prefix_stable_v2,,,4,4,4,8,8,16,8,256,64,265.4671062750276,0.06027112068424695,173.56029871106148,265.4060163497925,False,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-150029-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b16-seed0-b16,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-150029-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b16-seed0-b16/config.yaml
