scenario,controller,seed,status,run_id,num_agents,num_steps,observation_tokens_per_step,latency_s,max_token_usage,mean_token_usage,max_queue_req,max_pending_token,cached_token_ratio_total,mean_request_latency_s,p95_request_latency_s,controller_event_count,exact_controller_event_count,window_min,window_max,window_mean,run_dir
b12_medium,tail_open_v1,0,success,20260704-144811-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b12-seed0-b12,12,8,256,228.5940297570196,0.9,0.5576978417266187,6,108762,0.3414752473159105,14.565353681605199,34.64733581875917,108,0,4.0,8.0,7.148148148148148,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144811-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b12-seed0-b12
b12_medium,cache_gate_v1,0,success,20260704-145205-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b12-seed0-b12,12,8,256,209.97768622398144,0.99,0.602734375,6,126409,0.40707606392061146,13.481287260434216,34.02103988589952,117,117,4.0,8.0,5.478632478632479,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-145205-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b12-seed0-b12
b16_medium,tail_open_v1,0,success,20260704-145541-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b16-seed0-b16,16,8,256,285.6286186109646,0.96,0.6005084745762712,6,108762,0.40330595754471654,14.237523017923145,33.691894209507154,144,0,4.0,8.0,7.361111111111111,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-145541-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b16-seed0-b16
b16_medium,cache_gate_v1,0,success,20260704-150029-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b16-seed0-b16,16,8,256,265.4671062750276,0.99,0.5982840236686391,6,126409,0.4908086249779907,11.837611279477882,33.95309688951238,148,148,4.0,8.0,5.797297297297297,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-150029-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b16-seed0-b16
b8,tail_open_v1,0,success,20260704-143615-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed0-b8,8,8,256,112.22017428005347,0.92,0.5168918918918919,5,51226,0.6520985249393355,8.082527616449022,23.192633812193527,72,0,4.0,8.0,6.722222222222222,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-143615-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed0-b8
b8,tail_open_v1,1,success,20260704-144004-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed1-b8,8,8,256,121.78675060800742,0.97,0.5995061728395061,5,77488,0.5412978336840207,9.886643526262532,31.22553929402493,72,0,4.0,8.0,6.722222222222222,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144004-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed1-b8
b8,tail_open_v1,2,success,20260704-144410-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed2-b8,8,8,256,122.55763306998415,0.97,0.5639506172839506,5,60046,0.544833307361609,9.208538272937473,29.509585658373545,72,0,4.0,8.0,6.722222222222222,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144410-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed2-b8
b8,cache_gate_v1,0,success,20260704-143810-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed0-b8,8,8,256,111.70186059596017,0.93,0.5180519480519481,3,27895,0.6658139744681632,7.2344884586619,15.217097661574371,65,65,4.0,8.0,6.584615384615384,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-143810-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed0-b8
b8,cache_gate_v1,1,success,20260704-144210-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed1-b8,8,8,256,116.51476931100478,0.97,0.5441772151898734,5,49972,0.635043679299053,7.835814262704494,17.89497972697718,67,67,4.0,8.0,6.537313432835821,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144210-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed1-b8
b8,cache_gate_v1,2,success,20260704-144617-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed2-b8,8,8,256,112.24263471801532,0.97,0.5689333333333333,4,33732,0.6348864424542974,7.695013773168187,16.155385233752895,65,65,4.0,8.0,6.461538461538462,/data/3.8T-1/yue/concur_qwen_repro/outputs/innovation_round2/runs/20260704-144617-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed2-b8
