run_id,controller_label,request_count,prompt_tokens_total,completion_tokens_total,cached_tokens_total,cached_token_ratio_total,mean_queue_time_s,max_queue_time_s,mean_e2e_latency_s,p95_e2e_latency_s,mean_decode_throughput_tokens_s,max_cached_tokens
20260704-143615-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed0-b8,tail_open_v1,65,654007,4098,426477,0.6520985249393355,0.0,0.0,8.082527616449022,23.192633812193527,5298.04148836975,17472
20260704-143810-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed0-b8,cache_gate_v1,65,654007,4098,435447,0.6658139744681632,0.0,0.0,7.2344884586619,15.217097661574371,5351.61701247678,17472
20260704-144004-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed1-b8,tail_open_v1,65,654429,4098,354241,0.5412978336840207,0.0,0.0,9.886643526262532,31.22553929402493,5928.100399172623,17487
20260704-144210-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed1-b8,cache_gate_v1,65,654429,4098,415591,0.635043679299053,0.0,0.0,7.835814262704494,17.89497972697718,5845.590627469794,17487
20260704-144410-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b8-seed2-b8,tail_open_v1,65,654558,4098,356625,0.544833307361609,0.0,0.0,9.208538272937473,29.509585658373545,6770.991421296597,17476
20260704-144617-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b8-seed2-b8,cache_gate_v1,65,654558,4098,415570,0.6348864424542974,0.0,0.0,7.695013773168187,16.155385233752895,6211.5055495304605,17477
20260704-144811-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b12-seed0-b12,tail_open_v1,97,995589,6146,339969,0.3414752473159105,0.0,0.0,14.565353681605199,34.64733581875917,3661.45489506172,18993
20260704-145205-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b12-seed0-b12,cache_gate_v1,97,995610,6146,405289,0.40707606392061146,0.0,0.0,13.481287260434216,34.02103988589952,4077.1825867438074,19017
20260704-145541-tail-open-v1-Qwen3-32B-round2-tail-open-v1-b16-seed0-b16,tail_open_v1,129,1351681,8194,545141,0.40330595754471654,0.0,0.0,14.237523017923145,33.691894209507154,3422.7549352362616,19017
20260704-150029-cache-gate-v1-Qwen3-32B-round2-cache-gate-v1-b16-seed0-b16,cache_gate_v1,129,1351702,8194,663427,0.4908086249779907,0.0,0.0,11.837611279477882,33.95309688951238,3393.6935403737702,19017
