timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:13:14.585, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84283 MiB, 97887 MiB, 0 %, 90.21 W, 31
2026/06/23 22:13:14.589, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 46 %, 121.62 W, 33
2026/06/23 22:13:14.591, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 21 %, 111.47 W, 33
2026/06/23 22:13:14.594, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 71 %, 127.39 W, 33
2026/06/23 22:13:15.596, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84283 MiB, 97887 MiB, 100 %, 300.21 W, 38
2026/06/23 22:13:15.596, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 34 %, 109.47 W, 33
2026/06/23 22:13:15.596, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 27 %, 119.53 W, 34
2026/06/23 22:13:15.596, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 76 %, 137.10 W, 34
2026/06/23 22:13:16.597, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84283 MiB, 97887 MiB, 100 %, 388.86 W, 39
2026/06/23 22:13:16.597, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 59 %, 112.37 W, 33
2026/06/23 22:13:16.597, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 28 %, 118.98 W, 34
2026/06/23 22:13:16.597, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 89 %, 136.38 W, 34
2026/06/23 22:13:17.597, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84283 MiB, 97887 MiB, 100 %, 389.50 W, 40
2026/06/23 22:13:17.597, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 25 %, 120.82 W, 33
2026/06/23 22:13:17.597, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 80 %, 117.76 W, 34
