timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:16:17.278, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 0 %, 104.49 W, 61
2026/06/23 22:16:17.281, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 10060 MiB, 97887 MiB, 0 %, 106.49 W, 34
2026/06/23 22:16:17.283, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 17 %, 133.09 W, 37
2026/06/23 22:16:17.285, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 35 %, 114.83 W, 34
2026/06/23 22:16:18.287, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 239.21 W, 65
2026/06/23 22:16:18.288, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 14158 MiB, 97887 MiB, 0 %, 92.51 W, 34
2026/06/23 22:16:18.288, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 84 %, 134.93 W, 37
2026/06/23 22:16:18.288, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 62 %, 119.00 W, 34
2026/06/23 22:16:19.288, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 374.43 W, 65
2026/06/23 22:16:19.288, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 14158 MiB, 97887 MiB, 2 %, 92.44 W, 34
2026/06/23 22:16:19.289, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 63 %, 138.34 W, 37
2026/06/23 22:16:19.289, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 53 %, 117.08 W, 34
2026/06/23 22:16:20.289, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 375.19 W, 65
2026/06/23 22:16:20.289, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 14158 MiB, 97887 MiB, 1 %, 92.25 W, 34
2026/06/23 22:16:20.289, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 68 %, 136.54 W, 38
2026/06/23 22:16:20.289, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 33 %, 119.57 W, 34
2026/06/23 22:16:21.290, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 375.32 W, 65
2026/06/23 22:16:21.290, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 14158 MiB, 97887 MiB, 1 %, 93.88 W, 34
2026/06/23 22:16:21.290, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 80 %, 144.59 W, 37
2026/06/23 22:16:21.290, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 43 %, 117.22 W, 35
2026/06/23 22:16:22.290, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 374.43 W, 64
2026/06/23 22:16:22.290, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 14158 MiB, 97887 MiB, 1 %, 93.77 W, 34
