timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:25:04.036, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 0 %, 94.74 W, 41
2026/06/23 22:25:04.040, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 7 %, 99.13 W, 32
2026/06/23 22:25:04.042, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 48678 MiB, 97887 MiB, 14 %, 112.82 W, 33
2026/06/23 22:25:04.045, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 12 %, 107.18 W, 31
2026/06/23 22:25:05.048, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 198.31 W, 46
2026/06/23 22:25:05.048, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 35 %, 110.13 W, 33
2026/06/23 22:25:05.048, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 48678 MiB, 97887 MiB, 9 %, 97.62 W, 33
2026/06/23 22:25:05.048, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 12 %, 115.90 W, 32
2026/06/23 22:25:06.048, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 359.62 W, 47
2026/06/23 22:25:06.089, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 48 %, 116.49 W, 33
2026/06/23 22:25:06.090, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 5 %, 97.78 W, 33
2026/06/23 22:25:06.090, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 36 %, 109.89 W, 32
2026/06/23 22:25:07.090, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 360.20 W, 47
2026/06/23 22:25:07.090, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 19 %, 106.72 W, 33
2026/06/23 22:25:07.090, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 1 %, 101.35 W, 33
2026/06/23 22:25:07.090, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 28 %, 117.94 W, 32
2026/06/23 22:25:08.091, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 413.94 W, 58
2026/06/23 22:25:08.091, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 40 %, 107.61 W, 33
2026/06/23 22:25:08.091, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 12 %, 93.48 W, 33
2026/06/23 22:25:08.091, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 25 %, 123.62 W, 32
2026/06/23 22:25:09.091, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 590.58 W, 59
2026/06/23 22:25:09.092, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 35 %, 104.24 W, 32
2026/06/23 22:25:09.092, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 7 %, 101.33 W, 33
2026/06/23 22:25:09.092, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 23 %, 114.98 W, 32
2026/06/23 22:25:10.092, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.22 W, 60
2026/06/23 22:25:10.092, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 28 %, 109.98 W, 33
2026/06/23 22:25:10.092, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 11 %, 100.14 W, 33
2026/06/23 22:25:10.093, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 34 %, 112.50 W, 32
2026/06/23 22:25:11.093, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 536.84 W, 51
2026/06/23 22:25:11.093, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 32 %, 109.47 W, 33
2026/06/23 22:25:11.093, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 4 %, 97.10 W, 33
2026/06/23 22:25:11.093, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 58 %, 115.79 W, 32
2026/06/23 22:25:12.094, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 362.92 W, 50
2026/06/23 22:25:12.094, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 15 %, 106.18 W, 33
2026/06/23 22:25:12.094, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 3 %, 96.81 W, 33
2026/06/23 22:25:12.094, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 79 %, 126.83 W, 32
2026/06/23 22:25:13.094, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 362.94 W, 50
2026/06/23 22:25:13.094, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 5 %, 103.68 W, 32
2026/06/23 22:25:13.095, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 3 %, 94.92 W, 33
2026/06/23 22:25:13.095, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 72 %, 115.85 W, 32
2026/06/23 22:25:14.095, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 0 %, 329.20 W, 46
2026/06/23 22:25:14.095, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 9 %, 110.07 W, 32
2026/06/23 22:25:14.095, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 1 %, 95.34 W, 32
2026/06/23 22:25:14.095, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 14 %, 113.38 W, 32
2026/06/23 22:25:15.096, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 612.69 W, 61
2026/06/23 22:25:15.096, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 33 %, 109.71 W, 33
2026/06/23 22:25:15.096, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 12 %, 98.32 W, 33
2026/06/23 22:25:15.096, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 52 %, 113.96 W, 33
2026/06/23 22:25:16.096, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 595.67 W, 62
2026/06/23 22:25:16.097, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 40584 MiB, 97887 MiB, 17 %, 102.14 W, 32
2026/06/23 22:25:16.097, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 38536 MiB, 97887 MiB, 13 %, 102.56 W, 33
2026/06/23 22:25:16.097, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 44152 MiB, 97887 MiB, 48 %, 112.62 W, 32
2026/06/23 22:25:17.097, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.99 W, 63
