agent_id,step,context_tokens_proxy,observation_tokens_proxy,tool_wait_s
0,0,34,256,0.8599796663725433
0,1,923,256,0.569785518741244
0,2,1811,256,0.5760418446463711
0,3,2700,256,0.3191659864384033
0,4,3589,256,0.7675020420531159
0,5,4477,256,0.2796298357186901
0,6,5366,256,0.23335408574837524
0,7,6256,256,0.9336815726563127
1,0,34,256,0.232559567050864
1,1,920,256,0.5678414439117007
1,2,1810,256,0.28885930591506614
1,3,2698,256,0.3245596828426892
1,4,3586,256,0.13744991494917028
1,5,4476,256,0.421240885849274
1,6,5364,256,0.40519074494960283
1,7,6252,256,0.5290805346134829
2,0,34,256,0.8135558546720622
2,1,921,256,0.20524454652155125
2,2,1808,256,0.7641325263493159
2,3,2695,256,0.46950052469459325
2,4,3586,256,0.6328131921663851
2,5,4476,256,0.18239146287787633
2,6,5365,256,0.4910194728692875
2,7,6254,256,0.7491360478899718
3,0,34,256,0.8028027019479407
3,1,922,256,0.16280899993181036
3,2,1812,256,0.7016477615399188
3,3,2700,256,0.22933841626140616
3,4,3586,256,0.13685676214289055
3,5,4475,256,0.5853359206934898
3,6,5365,256,0.6447334456136637
3,7,6254,256,0.14395764485996723
4,0,34,256,0.8101288087291594
4,1,919,256,0.9234618303961767
4,2,1809,256,0.9555745231300696
4,3,2696,256,0.640129478061105
4,4,3584,256,0.9745566510706489
4,5,4473,256,0.9168490056244243
4,6,5361,256,0.7219793791776343
4,7,6251,256,0.550305204394385
5,0,34,256,0.7774836921075746
5,1,923,256,0.8536243184609233
5,2,1811,256,0.7445995044959922
5,3,2699,256,0.2516312234102017
5,4,3589,256,0.734077334282863
5,5,4476,256,0.9356832142884203
5,6,5366,256,0.5453923134794936
5,7,6253,256,0.8163982295200635
6,0,34,256,0.9841165897606806
6,1,919,256,0.7546715446134215
6,2,1809,256,0.5794315394252176
6,3,2698,256,0.9510297525701078
6,4,3585,256,0.603914466509951
6,5,4472,256,0.6765560138368572
6,6,5360,256,0.8472082404414488
6,7,6251,256,0.12002194410285237
7,0,34,256,0.6427879380827266
7,1,920,256,0.1157093657527379
7,2,1809,256,0.6430650767402794
7,3,2699,256,0.26288970434059056
7,4,3587,256,0.4665040237649375
7,5,4479,256,0.9923503000732312
7,6,5368,256,0.1542058212552467
7,7,6257,256,0.7253878408981531
