run_id,controller_label,server_run_id,request_id,agent_id,step,workload_version,mapping_method,mapping_delta_s,generation_start_ts,generation_end_ts,request_received_ts,request_finished_ts,prompt_tokens,completion_tokens,cached_tokens,cached_tokens_device,cached_tokens_host,cached_token_ratio,queue_time_s,e2e_latency_s,decode_throughput_tokens_s,max_new_tokens,finish_reason_type,metric_file
20260623-221042-no_control-Qwen3-32B-BF16-b2,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,24754f9dba774eb8be287e849764250b,1,0,,agent_events_generation_window,0.012060165405273438,1782223843.316877,1782223844.9614687,1782223843.328937,1782223844.9566035,38,32,3,3,0,0.07894736842105263,0.0,1.6276664398610592,13191715.661943922,32,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221042-no_control-Qwen3-32B-BF16-b2,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,8ce877d1baf442f9bac4ea016fe59af5,0,0,,agent_events_generation_window,0.02041006088256836,1782223843.312944,1782223844.9622295,1782223843.333354,1782223844.957029,38,32,3,3,0,0.07894736842105263,0.0,1.623674939153716,22142688.53750208,32,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221042-no_control-Qwen3-32B-BF16-b2,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,7ca14cd1f2584a18a012bf8c57e6b0c7,1,1,,agent_events_generation_window,0.0023047924041748047,1782223845.08547,1782223847.078887,1782223845.0877748,1782223847.075904,1427,32,19,19,0,0.013314646110721794,0.0,1.9881290139164776,8446614.614984456,32,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221042-no_control-Qwen3-32B-BF16-b2,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,2d2f842b391246809d2904bd2d9fce8c,0,1,,agent_events_generation_window,0.0020596981048583984,1782223845.191763,1782223847.1250112,1782223845.1938226,1782223847.1225486,1435,32,19,19,0,0.0132404181184669,0.0,1.9287259399425238,15422678.811073788,32,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221314-no_control-Qwen3-32B-b8,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,c83aaa6567434040b89d5779ff3eeda1,6,0,,agent_events_generation_window,0.0004112720489501953,1782223994.8172736,1782223997.8916001,1782223994.8168623,1782223997.8768163,38,64,8,8,0,0.21052631578947367,0.0,3.0599538718815893,96.3062456650292,64,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221314-no_control-Qwen3-32B-b8,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,170c0e8a33ac4d43be88dc3fbc885951,7,0,,agent_events_generation_window,0.0003020763397216797,1782223994.818982,1782223997.88872,1782223994.819284,1782223997.8776767,38,64,37,37,0,0.9736842105263158,0.0,3.058392720995471,96.19640765119982,64,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221314-no_control-Qwen3-32B-b8,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,d0102b1edcd54d07880a7be5f0fdb911,5,0,,agent_events_generation_window,0.0061490535736083984,1782223994.8153193,1782223997.8930585,1782223994.8214684,1782223997.8777976,38,64,37,37,0,0.9736842105263158,0.0,3.0563291509170085,96.18364783856622,64,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221314-no_control-Qwen3-32B-b8,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,940c6f73115a4c73a6fa80092357606c,4,0,,agent_events_generation_window,0.012465715408325195,1782223994.8109224,1782223997.889418,1782223994.823388,1782223997.8778996,38,64,8,8,0,0.21052631578947367,0.0,3.054511518916115,96.17209552549977,64,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221314-no_control-Qwen3-32B-b8,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,d0eaf0cc822a42a68c76940205c8ec00,3,0,,agent_events_generation_window,0.016196727752685547,1782223994.8090994,1782223997.891021,1782223994.8252962,1782223997.8780024,38,64,8,8,0,0.21052631578947367,0.0,3.05270629003644,96.16004079830958,64,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
20260623-221314-no_control-Qwen3-32B-b8,no_control,20260623-220614-sglang_server-Qwen3-32B-gpu0,a6840c1597194a099e43f61f4ca7dd6d,2,0,,agent_events_generation_window,0.01974177360534668,1782223994.8076138,1782223997.8903403,1782223994.8273556,1782223997.8781035,38,64,8,8,0,0.21052631578947367,0.0,3.0507478690706193,96.14860403049987,64,length,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260623-220614-sglang_server-Qwen3-32B-gpu0/sglang_metrics/sglang-request-metrics-20260623_22.log
