run_id,controller_label,request_count,prompt_tokens_total,completion_tokens_total,cached_tokens_total,cached_token_ratio_total,mean_queue_time_s,max_queue_time_s,mean_e2e_latency_s,p95_e2e_latency_s,mean_decode_throughput_tokens_s,max_cached_tokens
20260623-221042-no_control-Qwen3-32B-BF16-b2,no_control,4,2938,128,44,0.014976174268209666,0.0,0.0,1.7920490832184441,1.9881290139164776,14800924.406376062,19
20260623-221314-no_control-Qwen3-32B-b8,no_control,64,626572,4096,3705,0.005913127302209483,0.0,0.0,19.146831334539456,46.31586881168187,83.44264514835338,1420
20260623-221617-request_cap-Qwen3-32B-b8,request_cap_2,64,626572,4096,864,0.001378931710960592,0.0,0.0,7.398995048904908,12.527139400132,90.95897206576905,19
20260623-222107-fixed_window-Qwen3-32B-b8,fixed_window_4,64,626572,4096,1084,0.0017300485818070388,0.0,0.0,11.181038595321297,24.944601389113814,86.51445793663522,19
20260623-222503-concur_dynamic-Qwen3-32B-b8,concur_dynamic,64,626572,4096,1040,0.0016598252076377496,0.0,0.0,13.954474694743112,31.831394461914897,85.70066263917339,19
20260623-224424-request-cap-1-Qwen3-32B-b8,request_cap_1,64,626572,4096,831,0.001326264180333625,0.0,0.0,5.222452030622662,7.775140755053144,92.92691802942528,19
20260623-225031-request-cap-4-Qwen3-32B-b8,request_cap_4,64,626572,4096,886,0.0014140433980452366,0.0,0.0,11.828656082809175,30.210595619573724,86.70737114695717,19
20260623-225415-request-cap-8-Qwen3-32B-b8,request_cap_8,64,626572,4096,897,0.001431599241587559,0.0,0.0,19.205100059007236,46.215776469092816,83.45488282139152,19
20260623-225754-fixed-window-2-Qwen3-32B-b8,fixed_window_2,64,626572,4096,1128,0.0018002719559763283,0.0,0.0,7.273715155966784,12.466446409118362,90.85485758735074,19
20260623-230240-fixed-window-8-Qwen3-32B-b8,fixed_window_8,64,626572,4096,886,0.0014140433980452366,0.0,0.0,19.24545949642925,46.38377366098575,83.3529377253474,19
20260623-230625-fixed-window-16-effective-8-Qwen3-32B-b8,fixed_window_16_effective_8,64,626572,4096,897,0.001431599241587559,0.0,0.0,19.201812338724267,46.24102985695936,83.33062064599257,19
