run_id,controller_label,scheduler_points,prefill_batches,decode_batches,max_token_usage,mean_token_usage,max_running_req,max_queue_req,max_pending_token,prefill_new_tokens_total,prefill_cached_tokens_total,max_input_throughput_tokens_s,max_gen_throughput_tokens_s
20260623-221042-no_control-Qwen3-32B-BF16-b2,no_control,5,4,1,0.04,0.012,2,0,0,2894,44,4540.94,0.41
20260623-221314-no_control-Qwen3-32B-b8,no_control,107,86,21,0.97,0.5829906542056075,8,6,115056,622867,3705,5420.07,171.54
20260623-221617-request_cap-Qwen3-32B-b8,request_cap_2,149,97,52,0.59,0.3168456375838926,2,1,17134,625708,864,5031.55,43.4
20260623-222107-fixed_window-Qwen3-32B-b8,fixed_window_4,125,96,29,0.93,0.46272,4,2,50811,625488,1084,5685.19,84.74
20260623-222503-concur_dynamic-Qwen3-32B-b8,concur_dynamic,124,95,29,0.93,0.4593548387096774,6,4,87107,625532,1040,5575.97,114.55
20260623-224424-request-cap-1-Qwen3-32B-b8,request_cap_1,222,120,102,0.29,0.16545045045045045,1,0,11364,625741,831,4282.88,21.48
20260623-225031-request-cap-4-Qwen3-32B-b8,request_cap_4,118,89,29,0.88,0.5008474576271187,4,2,53592,625686,886,5532.66,86.77
20260623-225415-request-cap-8-Qwen3-32B-b8,request_cap_8,109,88,21,0.97,0.5777981651376147,8,6,115056,625675,897,5560.4,171.95
20260623-225754-fixed-window-2-Qwen3-32B-b8,fixed_window_2,164,112,52,0.59,0.29371951219512193,2,0,14487,625444,1128,5327.04,43.37
20260623-230240-fixed-window-8-Qwen3-32B-b8,fixed_window_8,109,88,21,0.97,0.5777981651376147,8,6,115056,625686,886,5565.58,171.96
20260623-230625-fixed-window-16-effective-8-Qwen3-32B-b8,fixed_window_16_effective_8,109,88,21,0.97,0.5619266055045872,8,6,115056,625675,897,5581.09,147.11
