controller,seed,run_id,latency_s,max_token_usage,mean_token_usage,max_queue_req,max_pending_token,cached_token_ratio_total,mean_request_latency_s,p95_request_latency_s,controller_event_count,exact_controller_event_count,window_min,window_max,window_mean
no_control,0,20260629-220152-no-control-Qwen3-32B-prefix-v2-seed0-b8,328.3031702530061,0.97,0.79990099009901,336,159879,0.07836621962965686,84.2413628774859,137.40192509360205,8,0,8.0,8.0,8.0
no_control,1,20260703-130558-no-control-Qwen3-32B-prefix-v2-seed1-b8,162.9477029700065,0.97,0.6123711340206186,6,135500,0.20750608545770435,17.227302442474937,49.62566261110478,8,0,8.0,8.0,8.0
no_control,2,20260703-135058-no-control-Qwen3-32B-prefix-v2-seed2-b8,165.8982959339628,0.93,0.6242708333333333,6,126811,0.18543450062869252,17.685669494645957,48.867680064897286,8,0,8.0,8.0,8.0
request_cap_4,0,20260629-221825-request-cap-4-Qwen3-32B-prefix-v2-seed0-b8,186.7921785810031,0.92,0.5346491228070176,3,65056,0.13662754692457663,11.214874620672163,31.39519978725002,8,0,8.0,8.0,8.0
request_cap_4,1,20260703-131522-request-cap-4-Qwen3-32B-prefix-v2-seed1-b8,181.56718123197788,0.92,0.5364545454545454,2,56928,0.17161372738677536,10.74490272003011,30.276577352074675,8,0,8.0,8.0,8.0
request_cap_4,2,20260703-135857-request-cap-4-Qwen3-32B-prefix-v2-seed2-b8,182.12014083797112,0.92,0.5355752212389381,2,56914,0.17197058122551745,10.750813825753553,31.32424990858999,8,0,8.0,8.0,8.0
fixed_window_4,0,20260629-222835-fixed-window-4-Qwen3-32B-prefix-v2-seed0-b8,115.47178020900174,0.96,0.4632098765432099,1,20368,0.6795041559887216,6.19968001826544,12.569997958751628,8,0,4.0,4.0,4.0
fixed_window_4,1,20260703-132510-fixed-window-4-Qwen3-32B-prefix-v2-seed1-b8,120.2997464860091,0.97,0.46166666666666667,2,44177,0.6574680360447366,6.351001530265113,12.674035371193895,8,0,4.0,4.0,4.0
fixed_window_4,2,20260703-215249-fixed-window-4-Qwen3-32B-prefix-v2-seed2-b8,116.08204838697566,0.97,0.49128205128205127,2,26683,0.6530712328013714,6.420130938289759,13.77491245662677,8,0,4.0,4.0,4.0
fixed_window_8,0,20260703-125818-fixed-window-8-Qwen3-32B-prefix-v2-seed0-b8,165.42414223001106,0.97,0.6198019801980198,6,115568,0.1894765652355403,17.07996513611064,46.84665948001202,8,0,8.0,8.0,8.0
fixed_window_8,1,20260703-133428-fixed-window-8-Qwen3-32B-prefix-v2-seed1-b8,162.84753050800646,0.97,0.6123711340206186,6,135500,0.20750608545770435,17.217434449170607,49.58600469048834,8,0,8.0,8.0,8.0
fixed_window_8,2,20260703-215450-fixed-window-8-Qwen3-32B-prefix-v2-seed2-b8,163.46947550197365,0.93,0.5998979591836735,6,126819,0.21165885987185246,17.378290185351105,49.02909935186035,8,0,8.0,8.0,8.0
concur_dynamic_v2,0,20260629-213848-concur-dynamic-v2-Qwen3-32B-prefix-v2-seed0-b8,225.03608802399685,0.97,0.6929100529100529,218,131652,0.19023253137678953,60.54818394553941,102.12628109774741,122,122,1.0,8.0,5.418032786885246
concur_dynamic_v2,1,20260703-134255-concur-dynamic-v2-Qwen3-32B-prefix-v2-seed1-b8,173.86986810300732,0.97,0.6974774774774775,5,115118,0.1497121918496888,18.74671197941688,46.769299553881865,96,96,1.0,8.0,3.9895833333333335
concur_dynamic_v2,2,20260703-215738-concur-dynamic-v2-Qwen3-32B-prefix-v2-seed2-b8,167.17403246602044,0.97,0.6973148148148148,5,106437,0.2064736814766606,17.523808553072517,42.405309355910866,93,93,2.0,8.0,4.516129032258065
