scenario,controller,seed,status,run_id,num_agents,num_steps,observation_tokens_per_step,latency_s,max_token_usage,mean_token_usage,max_queue_req,max_pending_token,cached_token_ratio_total,mean_request_latency_s,p95_request_latency_s,controller_event_count,exact_controller_event_count,window_min,window_max,window_mean,run_dir
b12_medium,no_control,0,success,20260703-225808-no-control-Qwen3-32B-b12-prefix-v2-seed0-b12,12,8,256,273.7267286760034,1.0,0.6287179487179487,10,199948,0.06429123853717822,28.997535184106177,66.76148707263056,12,0,12.0,12.0,12.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-225808-no-control-Qwen3-32B-b12-prefix-v2-seed0-b12
b12_medium,request_cap_4,0,success,20260703-230244-request-cap-4-Qwen3-32B-b12-prefix-v2-seed0-b12,12,8,256,297.78504300501663,0.95,0.5315428571428571,2,58704,0.047019402584801556,12.015354576398806,31.867379199090646,12,0,12.0,12.0,12.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-230244-request-cap-4-Qwen3-32B-b12-prefix-v2-seed0-b12
b12_medium,request_cap_8,0,success,20260703-230745-request-cap-8-Qwen3-32B-b12-prefix-v2-seed0-b12,12,8,256,280.767155790003,0.98,0.6595882352941177,6,140161,0.04427487969819841,21.33761076515063,51.08630393065687,12,0,12.0,12.0,12.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-230745-request-cap-8-Qwen3-32B-b12-prefix-v2-seed0-b12
b12_medium,fixed_window_4,0,success,20260703-231227-fixed-window-4-Qwen3-32B-b12-prefix-v2-seed0-b12,12,8,256,174.93097077601124,0.97,0.4727272727272727,1,24472,0.6703121201955046,6.3907667603452865,13.223246623078012,12,0,4.0,4.0,4.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-231227-fixed-window-4-Qwen3-32B-b12-prefix-v2-seed0-b12
b12_medium,fixed_window_8,0,success,20260703-231527-fixed-window-8-Qwen3-32B-b12-prefix-v2-seed0-b12,12,8,256,224.32833229197422,0.97,0.6071739130434782,6,115563,0.3419513473933521,15.173939930496513,45.96463811792201,12,0,8.0,8.0,8.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-231527-fixed-window-8-Qwen3-32B-b12-prefix-v2-seed0-b12
b12_medium,concur_dynamic_v2,0,success,20260703-231916-concur-dynamic-v2-Qwen3-32B-b12-prefix-v2-seed0-b12,12,8,256,212.75632365996717,0.97,0.5887121212121212,6,123820,0.3931102646931199,14.08550541162174,33.671859545080224,118,118,1.0,8.0,6.872881355932203,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-231916-concur-dynamic-v2-Qwen3-32B-b12-prefix-v2-seed0-b12
b16_medium,no_control,0,success,20260703-232406-no-control-Qwen3-32B-b16-prefix-v2-seed0-b16,16,8,256,376.1821273720125,0.99,0.6537209302325582,14,282320,0.026933451308054586,39.926612113745044,86.32310904801125,16,0,16.0,16.0,16.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-232406-no-control-Qwen3-32B-b16-prefix-v2-seed0-b16
b16_medium,fixed_window_8,0,success,20260703-233024-fixed-window-8-Qwen3-32B-b16-prefix-v2-seed0-b16,16,8,256,349.6993705299683,0.99,0.6226341463414634,6,119587,0.16139236994527556,19.41428548867982,47.69159352348652,16,0,8.0,8.0,8.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-233024-fixed-window-8-Qwen3-32B-b16-prefix-v2-seed0-b16
b16_medium,concur_dynamic_v2,0,success,20260703-233618-concur-dynamic-v2-Qwen3-32B-b16-prefix-v2-seed0-b16,16,8,256,341.3661269340082,0.97,0.6085427135678392,6,123820,0.19970332775993963,18.507268482726698,46.51342396551627,184,184,1.0,8.0,7.293478260869565,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-233618-concur-dynamic-v2-Qwen3-32B-b16-prefix-v2-seed0-b16
b8_long_ctxfit,no_control,0,success,20260703-221654-no-control-Qwen3-32B-b8-long-ctxfit-prefix-v2-seed0-b8,8,12,320,616.1151651630062,0.98,0.5818770226537217,7,267889,0.04845321599423087,44.5976119703606,102.06239497321076,8,0,8.0,8.0,8.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-221654-no-control-Qwen3-32B-b8-long-ctxfit-prefix-v2-seed0-b8
b8_long_ctxfit,fixed_window_4,0,success,20260703-222712-fixed-window-4-Qwen3-32B-b8-long-ctxfit-prefix-v2-seed0-b8,8,12,320,536.6152037620195,0.98,0.5615671641791045,3,135220,0.26749500023059736,20.319949141998784,52.61457358869957,8,0,4.0,4.0,4.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-222712-fixed-window-4-Qwen3-32B-b8-long-ctxfit-prefix-v2-seed0-b8
b8_long_ctxfit,fixed_window_8,0,success,20260703-223613-fixed-window-8-Qwen3-32B-b8-long-ctxfit-prefix-v2-seed0-b8,8,12,320,614.365340696997,0.98,0.5625901639344262,7,275403,0.05215957134030052,44.57735725293673,106.68543034296017,8,0,8.0,8.0,8.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-223613-fixed-window-8-Qwen3-32B-b8-long-ctxfit-prefix-v2-seed0-b8
b8_long_ctxfit,concur_dynamic_v2,0,success,20260703-224631-concur-dynamic-v2-Qwen3-32B-b8-long-ctxfit-prefix-v2-seed0-b8,8,12,320,614.9532074869494,0.98,0.5833012820512821,7,264946,0.04326217829690156,42.64327641305173,95.83165528847022,311,311,4.0,8.0,7.839228295819936,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-224631-concur-dynamic-v2-Qwen3-32B-b8-long-ctxfit-prefix-v2-seed0-b8
b8_long_original,no_control,0,failed,20260703-220502-no-control-Qwen3-32B-b8-long-prefix-v2-seed0-b8,8,12,384,,,,,,,,,8,0,8.0,8.0,8.0,/data/3.8T-1/yue/concur_qwen_repro/outputs/runs/20260703-220502-no-control-Qwen3-32B-b8-long-prefix-v2-seed0-b8
