scenario,controller,n,latency_mean_s,latency_min_s,latency_max_s,max_token_usage_mean,max_queue_req_mean,cached_token_ratio_mean
b12_medium,concur_dynamic_v2,1,212.75632365996717,212.75632365996717,212.75632365996717,0.97,6.0,0.3931102646931199
b12_medium,fixed_window_4,1,174.93097077601124,174.93097077601124,174.93097077601124,0.97,1.0,0.6703121201955046
b12_medium,fixed_window_8,1,224.32833229197422,224.32833229197422,224.32833229197422,0.97,6.0,0.3419513473933521
b12_medium,no_control,1,273.7267286760034,273.7267286760034,273.7267286760034,1.0,10.0,0.06429123853717822
b12_medium,request_cap_4,1,297.78504300501663,297.78504300501663,297.78504300501663,0.95,2.0,0.047019402584801556
b12_medium,request_cap_8,1,280.767155790003,280.767155790003,280.767155790003,0.98,6.0,0.04427487969819841
b16_medium,concur_dynamic_v2,1,341.3661269340082,341.3661269340082,341.3661269340082,0.97,6.0,0.19970332775993963
b16_medium,fixed_window_8,1,349.6993705299683,349.6993705299683,349.6993705299683,0.99,6.0,0.16139236994527556
b16_medium,no_control,1,376.1821273720125,376.1821273720125,376.1821273720125,0.99,14.0,0.026933451308054586
b8_long_ctxfit,concur_dynamic_v2,1,614.9532074869494,614.9532074869494,614.9532074869494,0.98,7.0,0.04326217829690156
b8_long_ctxfit,fixed_window_4,1,536.6152037620195,536.6152037620195,536.6152037620195,0.98,3.0,0.26749500023059736
b8_long_ctxfit,fixed_window_8,1,614.365340696997,614.365340696997,614.365340696997,0.98,7.0,0.05215957134030052
b8_long_ctxfit,no_control,1,616.1151651630062,616.1151651630062,616.1151651630062,0.98,7.0,0.04845321599423087
